epoch,n, train_loss, valid_loss
105,4, 187.4816061401, 80.8085833740,
106,0, 245.6932000732, 110.0507675171,
106,1, 215.3214855957, 72.5155790710,
106,2, 196.2831517029, 219.0942761230,
106,3, 287.6058001709, 346.7295904541,
106,4, 223.6191192627, 104.5025161743,
107,0, 213.3992764282, 125.3036578369,
107,1, 218.6825860596, 160.1400695801,
107,2, 230.3682876587, 203.9822436523,
107,3, 288.4581088257, 296.7760308838,
107,4, 220.2899340820, 135.9217614746,
108,0, 200.6405117798, 421.2129138184,
108,1, 236.3869415283, 117.5435836792,
108,2, 197.2871798706, 204.2387304687,
108,3, 194.1112417603, 118.1093222046,
108,4, 219.3921485901, 210.2360992432,
109,0, 218.8716921997, 302.1857965088,
109,1, 184.1142062378, 92.5519606018,
109,2, 180.4495021057, 65.9899470520,
109,3, 307.8184344482, 592.7682678223,
109,4, 243.6451513672, 194.9993530273,
110,0, 251.5300698853, 152.3372683716,
110,1, 158.1721405029, 194.5492346191,
110,2, 127.8334242249, 206.0218542480,
110,3, 155.7783221436, 100.0075097656,
110,4, 157.7973684692, 93.4322793579,
111,0, 254.7888180542, 102.5845040894,
111,1, 241.3546502686, 98.6445030212,
111,2, 267.3746435547, 439.1889416504,
111,3, 218.1688391113, 254.1340667725,
111,4, 229.1264566040, 98.9152363586,
112,0, 212.6787911987, 201.6697808838,
112,1, 134.9351425171, 78.9744108582,
112,2, 249.6041128540, 189.2530102539,
112,3, 259.5587823486, 151.6730548096,
112,4, 185.8685940552, 130.2316806030,
113,0, 217.9770452881, 108.5018182373,
113,1, 153.9006704712, 220.1183282471,
113,2, 161.9873707581, 294.0207116699,
113,3, 204.2583792114, 138.8988031006,
113,4, 163.5980149841, 161.7925848389,
114,0, 158.9459358215, 73.7011430359,
114,1, 185.9087359619, 221.7116845703,
114,2, 164.7843988037, 90.5377835083,
114,3, 202.1211361694, 57.7675000000,
114,4, 217.5366952515, 135.0609552002,
115,0, 215.5906674194, 98.1061801147,
115,1, 279.1429995728, 255.3329589844,
115,2, 227.0509774780, 225.0806103516,
115,3, 151.5102334595, 60.7965982056,
115,4, 199.7766470337, 188.8733453369,
116,0, 192.7841616821, 103.6712536621,
116,1, 172.5629080200, 339.7622399902,
116,2, 197.9259716797, 585.0653137207,
116,3, 180.5756248474, 103.2243933105,
116,4, 171.4254095459, 108.5519683838,
117,0, 151.8821673584, 147.9838656616,
117,1, 185.4848493958, 387.3732531738,
117,2, 246.7008267212, 91.7330409241,
117,3, 252.9596093750, 755.7904553223,
117,4, 176.5729080200, 149.6125311279,
118,0, 146.3781521606, 113.2403649902,
118,1, 223.3828668213, 125.0561351013,
118,2, 164.9255322266, 155.9607885742,
118,3, 171.3365661621, 178.7080120850,
118,4, 160.3887390137, 87.8306205750,
119,0, 184.8754617310, 253.6633776855,
119,1, 153.1214106750, 354.7520727539,
119,2, 182.7342370605, 2337.9696533203,
119,3, 172.5089144897, 68.4690409851,
119,4, 155.0023710632, 70.1157975769,
120,0, 139.7093688965, 96.1772717285,
120,1, 169.9690409851, 152.8703347778,
120,2, 174.4119845581, 119.3905664063,
