epoch,n, train_loss, valid_loss
123,1, 134.0763798523, 579.3086157227,
123,2, 125.1033407593, 66.8096771240,
123,3, 168.5853552246, 1377.1782373047,
123,4, 175.7785427856, 316.2133825684,
124,0, 119.8680072021, 67.3332260132,
124,1, 135.2505972290, 121.1117407227,
124,2, 151.9552822876, 992.0701635742,
124,3, 113.0985160828, 272.6172766113,
124,4, 136.6060803223, 120.2089163208,
125,0, 118.8487477112, 234.4303503418,
125,1, 123.5768319702, 139.2030718994,
125,2, 120.3500500488, 55.2374018860,
125,3, 168.9479959106, 223.9685931396,
125,4, 150.1966070557, 175.3137786865,
126,0, 135.0188235474, 197.8531005859,
126,1, 96.5251055908, 168.1414599609,
126,2, 109.4788482666, 59.2873464966,
126,3, 111.3138726807, 444.9183972168,
126,4, 118.3074922180, 80.6682301331,
127,0, 126.2508026123, 226.1106231689,
127,1, 187.5841876221, 122.1972555542,
127,2, 142.2842855835, 66.9940930176,
127,3, 122.1041464233, 152.9807431030,
127,4, 121.0138793945, 76.5086926270,
128,0, 227.3276217651, 926.1003198242,
128,1, 191.7450967407, 94.8609403992,
